zone_id,date,predicted_risk_level,actual_outcome
loc_000,2025-01-17,moderate,minor
loc_000,2025-10-05,moderate,none
loc_000,2026-02-27,low,minor
loc_000,2026-06-24,moderate,minor
loc_001,2024-09-06,low,minor
loc_001,2024-12-27,high,severe
loc_001,2025-02-13,low,none
loc_001,2025-04-17,severe,moderate
loc_001,2025-12-10,severe,moderate
loc_001,2026-05-02,severe,none
loc_002,2024-11-23,high,moderate
loc_002,2025-07-17,moderate,none
loc_002,2025-09-05,moderate,minor
loc_002,2025-12-08,high,severe
loc_002,2026-01-29,severe,moderate
loc_002,2026-04-05,high,severe
loc_002,2026-05-19,moderate,minor
loc_003,2024-11-17,moderate,none
loc_003,2025-08-04,low,minor
loc_003,2025-12-28,moderate,none
loc_003,2026-04-19,high,moderate
loc_003,2026-05-17,low,minor
loc_003,2026-05-19,low,none
loc_003,2026-07-18,high,moderate
loc_003,2026-08-30,low,minor
loc_004,2024-12-31,moderate,minor
loc_004,2025-05-09,high,moderate
loc_004,2025-08-28,low,severe
loc_004,2025-12-05,moderate,minor
loc_005,2025-01-08,moderate,minor
loc_005,2025-03-14,moderate,severe
loc_005,2025-08-27,moderate,minor
loc_005,2025-12-03,high,moderate
loc_005,2026-02-10,low,none
loc_005,2026-02-21,moderate,minor
loc_005,2026-06-22,moderate,none
loc_006,2024-11-01,high,severe
loc_006,2024-12-15,moderate,minor
loc_006,2025-01-10,severe,moderate
loc_006,2026-04-04,high,moderate
loc_007,2024-09-17,moderate,none
loc_007,2025-07-24,moderate,minor
loc_007,2025-08-08,low,minor
loc_007,2025-08-22,severe,moderate
loc_008,2024-11-19,low,none
loc_008,2025-02-26,high,severe
loc_008,2025-03-28,high,severe
loc_008,2025-05-01,moderate,minor
loc_008,2025-10-02,moderate,moderate
loc_008,2025-10-02,low,severe
loc_008,2026-03-16,high,severe
loc_009,2025-02-20,low,moderate
loc_009,2025-05-30,low,minor
loc_009,2025-11-29,low,minor
loc_009,2026-04-30,moderate,moderate
loc_009,2026-07-17,high,severe
loc_010,2025-04-19,moderate,moderate
loc_010,2025-07-16,low,none
loc_010,2026-06-14,severe,none
loc_010,2026-08-27,severe,minor
loc_011,2024-11-29,low,moderate
loc_011,2025-01-10,high,minor
loc_011,2025-03-11,moderate,moderate
loc_011,2025-07-15,severe,none
loc_011,2026-02-28,moderate,minor
loc_011,2026-08-31,low,none
loc_012,2024-11-29,low,minor
loc_012,2025-03-24,severe,moderate
loc_012,2026-03-15,moderate,minor
loc_012,2026-04-11,high,severe
loc_013,2024-11-30,moderate,moderate
loc_013,2024-12-05,high,severe
loc_013,2025-09-07,severe,moderate
loc_013,2026-08-03,high,none
loc_014,2024-12-12,high,severe
loc_014,2024-12-18,moderate,none
loc_014,2025-03-31,severe,severe
loc_014,2025-07-04,high,none
loc_014,2025-08-05,low,severe
loc_014,2025-11-17,low,minor
loc_014,2025-12-30,high,severe
loc_014,2026-07-15,low,moderate
loc_015,2024-11-23,low,none
loc_015,2024-12-16,low,none
loc_015,2025-09-24,high,none
loc_015,2026-02-28,low,minor
loc_015,2026-06-07,severe,severe
loc_015,2026-07-07,low,minor
loc_016,2024-11-24,moderate,none
loc_016,2024-12-23,severe,severe
loc_016,2025-01-21,high,moderate
loc_016,2025-11-07,low,none
loc_017,2024-10-07,moderate,moderate
loc_017,2024-11-14,severe,none
loc_017,2025-02-21,low,minor
loc_017,2025-03-02,low,moderate
loc_017,2025-09-28,high,minor
loc_017,2026-08-21,high,none
loc_018,2025-03-02,severe,moderate
loc_018,2025-09-11,moderate,moderate
loc_018,2025-09-27,severe,severe
loc_018,2025-11-25,high,severe
loc_018,2026-05-10,severe,severe
loc_018,2026-06-22,severe,minor
loc_019,2024-12-30,low,none
loc_019,2025-04-06,moderate,none
loc_019,2025-05-27,moderate,none
loc_019,2025-07-15,high,moderate
loc_019,2026-07-26,severe,none
loc_020,2024-11-01,high,none
loc_020,2025-01-08,severe,severe
loc_020,2025-12-22,moderate,moderate
loc_020,2026-01-21,high,severe
loc_020,2026-02-13,high,severe
loc_020,2026-05-14,moderate,minor
loc_020,2026-07-29,high,severe
loc_021,2024-10-07,low,none
loc_021,2025-01-04,low,none
loc_021,2025-02-20,severe,severe
loc_021,2025-07-23,severe,none
loc_021,2025-08-14,low,minor
loc_021,2026-03-13,moderate,minor
loc_021,2026-03-29,high,none
loc_021,2026-07-24,severe,severe
loc_022,2025-05-02,high,minor
loc_022,2025-09-25,high,moderate
loc_022,2026-01-04,moderate,none
loc_022,2026-02-15,high,moderate
loc_023,2024-11-03,moderate,none
loc_023,2025-06-03,low,severe
loc_023,2025-06-08,severe,severe
loc_023,2025-08-17,severe,severe
loc_023,2026-07-26,low,minor
loc_024,2024-09-09,high,severe
loc_024,2024-09-09,severe,moderate
loc_024,2025-07-30,low,moderate
loc_024,2025-08-16,severe,severe
loc_024,2025-10-04,moderate,severe
loc_024,2025-12-31,moderate,moderate
loc_024,2026-01-14,low,severe
loc_024,2026-05-15,severe,moderate
loc_025,2024-12-24,severe,moderate
loc_025,2025-01-23,severe,none
loc_025,2025-02-27,high,severe
loc_025,2025-12-31,low,moderate
loc_025,2026-01-03,low,moderate
loc_025,2026-03-22,low,minor
loc_025,2026-05-12,severe,minor
loc_025,2026-08-06,low,severe
loc_026,2024-10-01,low,none
loc_026,2024-11-02,high,severe
loc_026,2024-11-13,low,none
loc_026,2025-07-31,severe,severe
loc_026,2025-09-04,low,minor
loc_026,2025-09-08,high,none
loc_026,2026-02-20,severe,severe
loc_027,2025-01-05,severe,moderate
loc_027,2025-06-03,moderate,none
loc_027,2025-07-03,low,moderate
loc_027,2025-07-24,moderate,minor
loc_027,2026-03-28,severe,severe
loc_028,2024-12-04,high,moderate
loc_028,2025-03-23,low,minor
loc_028,2025-06-29,high,severe
loc_028,2025-07-21,high,severe
loc_028,2025-09-07,severe,moderate
loc_028,2026-03-29,low,none
loc_029,2025-02-12,moderate,none
loc_029,2025-04-07,high,moderate
loc_029,2025-11-05,moderate,minor
loc_029,2025-11-06,low,minor
loc_030,2024-10-01,moderate,moderate
loc_030,2025-02-27,high,severe
loc_030,2025-09-20,low,none
loc_030,2025-10-07,moderate,none
loc_030,2025-11-25,high,severe
loc_030,2026-02-21,moderate,minor
loc_030,2026-06-10,high,none
